customer_hierarchy;product_line;month;month_no;actual_sales;open_backlog;backlog_conversion_probability;expected_backlog_revenue;budget;roll_forecast;statistical_demand_forecast;raw_ai_forecast;final_ai_forecast;forecast_low;forecast_high;confidence;risk_flag;explanation
81303 - Irland;n/a;Dec 2026;12;0.0;0.0;0.0;0.0;0.0;0.0;95772.48;95772.48;67609.13;60848.22;74370.05;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
81814 - Komet Medical USA;M191_10 Sonstige;Jul 2026;7;0.0;183091.84;0.7;128164.29;165486.46;107375.82;407255.25;221240.06;174951.6;157456.44;192446.76;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
81202 - Schweiz;M203_10 Stahl;Jul 2026;7;0.0;0.0;0.0;0.0;178689.92;188892.23;141885.96;153650.18;121503.06;109352.75;133653.37;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
71814 - Komet USA;123_10 Standard;Nov 2026;11;0.0;0.0;0.0;0.0;148106.7;161135.6;122036.99;127565.48;95474.59;85927.13;105022.05;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
71466 - Arabische Emirate;191_10 Hartmetall;May 2026;5;0.0;0.0;0.0;0.0;41852.48;3.63;111791.35;72849.94;63441.6;57097.44;69785.76;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
71811 - Komet France;242_10 für Oberflächen;May 2026;5;3202.1;87518.9;0.7;61263.23;72094.62;109634.38;90869.19;53539.35;46624.91;41962.42;51287.41;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
81603 - USA ohne VU;M151_10 Oszillierend;Jul 2026;7;0.0;47151.35;0.7;33005.94;145527.25;104395.87;450175.47;211663.93;167379.01;150641.11;184116.91;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
81202 - Schweiz;M201_10 Stahl;May 2026;5;29287.35;57522.0;0.7;40265.4;237378.76;171365.38;171852.36;124962.93;108824.37;97941.93;119706.8;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
81814 - Komet Medical USA;M191_10 Sonstige;Aug 2026;8;0.0;338546.4;0.7;236982.48;162924.81;209831.02;189087.63;192840.56;147834.54;133051.09;162618.0;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
81811 - Komet France;M151_10 Oszillierend;May 2026;5;50673.28;408.0;0.7;285.6;162395.93;169286.36;151484.73;123588.73;107627.64;96864.88;118390.41;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81202 - Schweiz;M203_10 Stahl;Sep 2026;9;0.0;0.0;0.0;0.0;146237.01;175722.75;147595.88;148059.83;114580.1;103122.09;126038.11;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
71814 - Komet USA;123_10 Standard;Dec 2026;12;0.0;0.0;0.0;0.0;147511.45;151406.98;131494.63;128146.65;90463.19;81416.87;99509.51;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
71811 - Komet France;n/a;Dec 2026;12;0.0;3480.0;0.7;2436.0;-59909.15;-59843.19;1376.65;1506.47;1063.47;957.12;1169.82;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
71450 - Süd-Korea;113_10 Standard;Sep 2026;9;0.0;33390.83;0.7;23373.58;48139.04;97887.93;56043.34;48427.09;37476.61;33728.95;41224.27;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81202 - Schweiz;M201_10 Stahl;Nov 2026;11;0.0;0.0;0.0;0.0;105853.77;180713.12;177971.41;162885.22;121909.15;109718.24;134100.07;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
81814 - Komet Medical USA;M144_10 Fixation Screws;Aug 2026;8;0.0;15757.02;0.7;11029.91;12823.62;102350.29;105396.35;57805.11;44314.29;39882.86;48745.72;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
81202 - Schweiz;M201_10 Stahl;Sep 2026;9;0.0;10640.0;0.7;7448.0;171869.69;154536.12;186287.41;125262.77;96937.98;87244.18;106631.78;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
81202 - Schweiz;M201_10 Stahl;Aug 2026;8;0.0;5625.0;0.7;3937.5;173922.43;179772.42;307623.12;159489.6;122267.18;110040.46;134493.9;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
81422 - Israel;n/a;Jul 2026;7;0.0;87750.0;0.7;61425.0;0.0;102450.0;4222.66;57380.67;45375.33;40837.79;49912.86;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
71468 - Volksrepublik China;231_12 Knochenfräser grazil konisch;Nov 2026;11;0.0;0.0;0.0;0.0;23772.26;25232.82;213094.86;109446.97;81914.05;73722.64;90105.45;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
81422 - Israel;M203_10 Stahl;Oct 2026;10;0.0;0.0;0.0;0.0;3541.4;0.0;108356.15;74224.35;56242.69;50618.42;61866.96;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
83102 - Deutschland;M203_10 Stahl;Jul 2026;7;0.0;381309.55;0.7;266916.68;304456.48;319030.54;487298.99;332322.42;262792.99;236513.69;289072.29;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
88418 - Indien;n/a;May 2026;5;0.0;208237.15;0.7;145766.01;285903.51;235076.38;604677.72;334492.0;291293.43;262164.09;320422.77;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81204 - Niederlande;M153_10 Oszillierend;May 2026;5;230.84;37495.1;0.7;26246.57;77279.07;83690.95;22154.48;31981.96;27851.59;25066.43;30636.75;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81202 - Schweiz;M161_10 Diamant;Jun 2026;6;0.0;131483.51;0.7;92038.46;75090.61;114214.84;56954.93;74263.73;58788.05;52909.25;64666.86;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81303 - Irland;M162_12 Vollhartmetall;Sep 2026;9;0.0;0.0;0.0;0.0;262963.2;309272.8;399517.38;328609.13;254303.05;228872.75;279733.36;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
71308 - Schweden;317_10 Sonstiges;Nov 2026;11;0.0;0.0;0.0;0.0;0.0;6.2;98938.88;71957.24;53855.38;48469.85;59240.92;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
71814 - Komet USA;123_10 Standard;May 2026;5;45863.77;8673.46;0.7;6071.43;154157.89;160596.37;164056.66;123207.4;107295.56;96566.0;118025.11;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81603 - USA ohne VU;M151_10 Oszillierend;May 2026;5;16887.95;13442.5;0.7;9409.75;361854.41;163180.49;660812.8;248012.64;215982.6;194384.34;237580.86;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
83102 - Deutschland;M151_10 Oszillierend;Aug 2026;8;0.0;0.0;0.0;0.0;165234.76;173332.54;155239.66;157409.44;120672.5;108605.25;132739.75;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
