as_of_date;forecast_month;grain;customer;product;customer_hierarchy;product_line;month;month_no;actual_sales;open_backlog;backlog_conversion_probability;expected_backlog_revenue;budget;roll_forecast;statistical_demand_forecast;residual_demand_forecast;raw_ai_forecast;final_ai_forecast;forecast_low;forecast_high;confidence;risk_flag;explanation
2026-05-07;May 2026;HierarchyProductLine;71450 - Süd-Korea;111_10 Standard;71450 - Süd-Korea;111_10 Standard;May 2026;5;24285.06;21078.03;0.95;20024.13;53606.41;62906.98;76299.08;13118.25;57427.44;49359.77;44423.79;54295.74;high;normal;"normal segment; learned backlog probability 95%; blended backlog, residual demand, budget, and roll forecast."
2026-05-07;May 2026;HierarchyProductLine;87103 - Endkunden;n/a;87103 - Endkunden;n/a;May 2026;5;7688.11;16009.04;0.4802;7688.11;27548.92;32452.01;41776.2;6626.9;22003.12;18912.02;17020.82;20803.22;high;normal;"normal segment; learned backlog probability 48%; blended backlog, residual demand, budget, and roll forecast."
2026-05-07;May 2026;HierarchyProductLine;71811 - Komet France;331_10 EndoPilot Basismodul;71811 - Komet France;331_10 EndoPilot Basismodul;May 2026;5;0.0;0.0;0.0;0.0;0.0;0.0;31057.0;15737.78;15737.78;13526.86;12174.18;14879.55;medium;volatile;"volatile segment; learned backlog probability 0%; blended backlog, residual demand, budget, and roll forecast."
2026-05-07;Jun 2026;HierarchyProductLine;71450 - Süd-Korea;111_10 Standard;71450 - Süd-Korea;111_10 Standard;Jun 2026;6;0.0;39493.06;0.9;35543.75;54656.25;57969.68;93386.63;22994.01;58537.77;44550.29;40095.26;49005.32;high;normal;"normal segment; learned backlog probability 90%; blended backlog, residual demand, budget, and roll forecast."
2026-05-07;Jun 2026;HierarchyProductLine;81603 - USA ohne VU;M171_10 Shannon Recta;81603 - USA ohne VU;M171_10 Shannon Recta;Jun 2026;6;0.0;81720.0;0.9;73548.0;51701.85;48646.04;53048.08;0.0;46467.63;35364.28;31827.85;38900.71;medium;volatile;"volatile segment; learned backlog probability 90%; blended backlog, residual demand, budget, and roll forecast."
2026-05-07;May 2026;HierarchyProductLine;71811 - Komet France;111_13 S-Dia;71811 - Komet France;111_13 S-Dia;May 2026;5;9261.19;183.08;0.95;173.93;37333.93;36970.74;44395.66;18160.08;27595.2;23718.5;21346.65;26090.35;high;normal;"normal segment; learned backlog probability 95%; blended backlog, residual demand, budget, and roll forecast."
2026-05-07;Jul 2026;HierarchyProductLine;83102 - Deutschland;M163_10 Stahl;83102 - Deutschland;M163_10 Stahl;Jul 2026;7;0.0;24050.0;0.9;21645.0;23238.75;46243.76;98028.16;21744.62;43389.62;32996.68;29697.01;36296.35;medium;volatile;"volatile segment; learned backlog probability 90%; blended backlog, residual demand, budget, and roll forecast."
2026-05-07;May 2026;HierarchyProductLine;81603 - USA ohne VU;M181_14 Sonstige;81603 - USA ohne VU;M181_14 Sonstige;May 2026;5;0.0;0.0;0.0;0.0;0.0;0.0;15237.0;15237.0;15237.0;13096.44;11786.79;14406.08;high;normal;"normal segment; learned backlog probability 0%; blended backlog, residual demand, budget, and roll forecast."
2026-05-07;May 2026;HierarchyProductLine;71812 - Komet Italia;272_10 Standardsätze;71812 - Komet Italia;272_10 Standardsätze;May 2026;5;1628.13;0.0;0.0;0.0;10936.13;26251.52;24524.78;13689.61;15317.74;13165.83;11849.25;14482.42;high;normal;"normal segment; learned backlog probability 0%; blended backlog, residual demand, budget, and roll forecast."
2026-05-07;May 2026;HierarchyProductLine;71814 - Komet USA;113_10 Standard;71814 - Komet USA;113_10 Standard;May 2026;5;8998.63;793.03;0.95;753.37;34497.77;35886.86;48113.77;16800.25;26552.26;22822.08;20539.87;25104.28;high;normal;"normal segment; learned backlog probability 95%; blended backlog, residual demand, budget, and roll forecast."
